account,ownedStake
drax.leo,"10,10795876"
smallboost,"10,09025726"
inspiredbyhive,"10,08371719"
hamsterpoweriii,"10,07826002"
vetogrity4567,"10,05478321"
cruuzvicks,"10,04091251"
jats-0,"10,00000324"
thoth442,"9,98674482"
darrenfj,"9,91292859"
melinda010100,"9,83752441"
sarguy43,"9,7"
davixesk8,"9,68506975"
bpcvoter,"9,66167968"
siberian12,"9,61606671"
fireguardian,"9,55845928"
gidien,"9,51777433"
rtonline,"9,49214443"
casimodo,"9,40161831"
anhnghn,"9,3894047"
arcange,"9,36622062"
challenge-fr,"9,29715377"
hatke,"9,29318129"
keechadkikali,"9,2925835"
theacks,"9,26878486"
akinolawilly,"9,26362809"
leoth28,"9,24491802"
gaming.grants,"9,13641319"
fromoza,"9,13277594"
tharanthula,"9,10422593"
homelesscrewmx,"9,1039733"
evegrace,"9,05836811"
fnvdesigns,"9,00030074"
servelle,"8,98890952"
olympicdragon,"8,98317139"
squirrelacus,"8,97816526"
damus-nostra,"8,9496533"
oneup-curator,"8,93246121"
buffalobison,"8,92660828"
archmage.mint,"8,92100782"
hpccurator,"8,86659146"
thelunacysystem,"8,81917513"
fiberfrau,"8,77285981"
abreusplinter,"8,72783539"
penderis,"8,69935142"
eddwood,"8,68531309"
asdyfir,"8,639624"
luvshares,"8,61579473"
terganmarket,"8,54775881"
punkndrublic,"8,51028798"
mezume,"8,50045143"
stekene,"8,4764765"
isiksenpalvoja,"8,44106005"
nata86,"8,41958034"
supriya.gupta,"8,41519722"
digital.bank,"8,40185087"
ijat,"8,38665457"
itzninjafool,"8,37698898"
drax,"8,37335731"
revise.leo,"8,35097504"
brofi,"8,34739194"
drabs587,"8,33720761"
acolytesofhelio,"8,31581614"
tokutaro22,"8,19858996"
kalib,"8,19838175"
hive-199275,"8,19754237"
shubhwaj,"8,19362628"
luizeba,"8,19295389"
pundito,"8,16973333"
bhelatnasudepan,"8,16535753"
peerfinance,"8,14839289"
kiokizz,"8,13639349"
bilpcoinbot,"8,12865404"
damsel001,"8,11683499"
dungeondog,"8,07044917"
mintymile,"8,01952452"
cryptokungfu,"8,01882026"
bc-i,"8,01036367"
loshombresdepaco,"8,0"
toekins,"7,99055446"
revisesociology,"7,90831454"
slhp,"7,90820313"
joshsticks28,"7,9035197"
clavdio75,"7,86929578"
aarin-adebiyi,"7,8013407"
mrhive001,"7,79625847"
giono,"7,7803839"
memess,"7,73240725"
vyb.vyb,"7,71949302"
yibbiy,"7,68169716"
felt.buzz,"7,63234744"
sudeginsiu,"7,59273574"
mchero,"7,58542965"
sanjeevm,"7,58316472"
plicc8,"7,5667664"
slicense,"7,50014019"
ronthroop,"7,4960967"
stevieboyes,"7,47184924"
trentonlundy1,"7,46313498"
nogenta,"7,3836871"
middle-earthling,"7,35422926"
kolus290,"7,35303281"
theb0red1,"7,32111978"
patriamcaritatis,"7,30296928"
monsterbuster,"7,27708543"
bonus-fr,"7,27514266"
youarealive,"7,23419569"
jmis101,"7,2076986"
harlowjourney,"7,13496618"
hivebuzz,"7,07973549"
ztazero,"7,05250634"
beatzchain,"7,04726629"
detlev,"7,01724238"
visionaer3003,"7,01028363"
razackpulo.pob,"6,96025238"
k3vinjam3s,"6,9393084"
thecrazygm,"6,92647176"
snakeeyesf,"6,92110949"
steemseph,"6,9013979"
m1sterjw,"6,89952302"
shaggoth,"6,86198352"
mypathtofire,"6,85634737"
ziabutt3836,"6,8082174"
ciderjunkie,"6,74264858"
yameen-ag,"6,7070708"
reidasshitcoin,"6,70689456"
emitv,"6,68838612"
zpek,"6,66822917"
tolsk,"6,63986852"
jaybart,"6,63270136"
carn,"6,60424983"
tjnew14,"6,59833584"
lovesports,"6,5717087"
envy2823,"6,55567218"
georgeknowsall,"6,54890192"
ydaiznfts,"6,54700451"
tykee,"6,54495214"
mervinthepogi,"6,52599455"
bobby.madagascar,"6,52334204"
frankbacon,"6,5178428"
cryptictruth,"6,50209258"
hafiz34,"6,50126118"
w1tty,"6,48343657"
chmoen,"6,473001"
adedayoolumide,"6,45171384"
sirstriker,"6,44573656"
rishi556,"6,42759387"
ekotmordemy,"6,38718791"
hive-138307,"6,35539675"
japex1226,"6,32607745"
zestimony,"6,3019106"
hiq.smartbot,"6,2886575"
sensional,"6,27654442"
oadissin,"6,26409988"
skatehive,"6,2398549"
nadoeda,"6,20209625"
kachinhenry,"6,19459401"
realitavshaluan,"6,15353429"
silverd510,"6,14465389"
thisismylife,"6,13557573"
tisfortony,"6,08932509"
jburke.mp4,"6,08098427"
altthair,"6,06874104"
jackglory,"6,00003183"
valdiva,"5,9435569"
elikast,"5,93436521"
cryptocompany,"5,92178289"
smartthoughts90,"5,91565937"
aino.tapani,"5,80675732"
ssjdynasty,"5,78013652"
oceanbee,"5,76518542"
bdmillergallery,"5,76214654"
ecobanker,"5,73577942"
ttatsu0815,"5,73367569"
rupinder,"5,73056328"
hurtlocker,"5,70333222"
mvl2304.sports,"5,6967336"
duke77,"5,67478884"
steemvpn,"5,64000857"
oople,"5,63969947"
fomofinance,"5,63872784"
impro2006,"5,63712627"
jarvie,"5,58318183"
gusttavotx,"5,57954637"
alyssasanders,"5,53818128"
andres-ralph,"5,52621358"
harry-jacob,"5,51614614"
chisdealhd,"5,49395884"
shufunk,"5,47323542"
jigster23,"5,43375774"
timhorton,"5,41820952"
rob23hive,"5,40207601"
behiverbee,"5,39920608"
skylinebuds,"5,39362123"
ragk88,"5,39215986"
mk992039,"5,38045892"
engage1up,"5,34981099"
archmage.app,"5,34957733"
beerlover,"5,33219756"
ctrpch,"5,32048883"
hmvf,"5,31988858"
adie44,"5,29493738"
sandymeyer,"5,28408065"
cryptoniusrex,"5,26855476"
highfist,"5,23814018"
tsnaks,"5,23662905"
zonaskatemx,"5,23630825"
zallin,"5,18478025"
surgest,"5,1842411"
firstborn.pob,"5,15776749"
vishkaal,"5,14534402"
kerrislravenhill,"5,13980085"
jungleboy1,"5,13213724"
blockchainboyroy,"5,10303581"
mrenglish,"5,05187099"
noempathy,"5,03072384"
uwelang,"5,01132232"
urockradio,"5,0"
charcoalbuffet,"4,99778418"
shadflyfilms,"4,98700602"
youloseagain,"4,93041126"
megalithic,"4,92439004"
spontaneoussober,"4,92221441"
digitalsalt,"4,89087212"
moorgekaffii,"4,886095"
supersloth11,"4,87974585"
vickvan,"4,79872189"
h-t-t,"4,77360842"
jlufer,"4,72135717"
option2-e,"4,71364471"
unitmaster,"4,70780272"
alovely,"4,69990276"
shohana1,"4,67827432"
abyssalsoul,"4,67819374"
darmst5339,"4,65676326"
heaven131415,"4,65030984"
zfg,"4,64996213"
dynamichivers,"4,64053675"
aitorlopez,"4,63671436"
basilmarples,"4,60631025"
magicquokka,"4,57328207"
meme.bot,"4,55673542"
cool08,"4,55345963"
iasplan,"4,54073006"
colm.hive,"4,54046654"
friendlymoose,"4,53653857"
fasacity,"4,52901619"
shikika,"4,52824026"
azeul,"4,5"
flauwy-1up,"4,48524331"
meins0815,"4,48333313"
synergized,"4,48269624"
protosphere,"4,47928714"
randumb,"4,40946127"
opidia,"4,40825308"
